local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,22.071442393592225,16.355344692314723,3.11458608848833,130.19667500634776,351.6707754595369,807.2393201977458,1561.4368366253777,17.86931483518273
10,24.005400328005866,18.85248896593776,4.594015681232178,156.0834358276373,318.34228648276235,722.7223122748683,1349.8146402033624,15.101294803021796
11,26.76298626603376,23.242133979811317,21.79158118324107,184.0266560609021,552.4943347500005,1029.0503999999999,1277.2911374999999,17.43681958097527
12,20.661582683421134,14.71917970861214,5.294145972425488,87.15751687856823,236.77008266677646,501.71162220879575,629.2976869052559,8.711277327549986
13,26.81201482338948,20.80863752551151,15.48088686983274,113.44408474828197,236.33713391557808,466.0531555227953,888.7639425,12.675331474690795
14,24.31955081963042,18.78017851440973,14.549123909497899,87.97609652725637,222.2029885735921,363.5691642210308,491.81662500000016,11.592115289462768
15,18.57981970524961,14.938405990149686,-4.063347432804446,57.89873135909848,125.75588035902709,314.4350792168077,456.2241562014261,9.153897473721385
16,15.184421404264864,11.252511695855572,2.8974914457219376,102.3846506128579,309.56881234231616,628.2583548426836,762.2210519553997,19.350167443869065
17,12.551424813100828,9.803599689953051,-3.1153726028157593,25.78344978326474,60.33664945156296,102.05029404437154,117.486319404483,8.760852782620459
18,6.790511599561612,4.753476918594226,3.3042676537114244,29.356034983414936,55.19390734475655,151.38405831777422,307.18069292242905,21.022821895165528
19,2.609911791300843,2.060640896391063,-1.2513831072551833,9.676187308331732,8.505860130117364,72.04547597926255,140.6015994191846,18.76752896177572
20,1.2667321304830172,0.9785166014559735,-0.4683464146020967,2.451397744924586,6.664469331244581,10.015928198207439,14.926241795067408,12.959886987210417
