local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,10.778115380585632,6.765748293869479,4.761759866250537,132.87145397792372,215.63688973933267,1010.221076842502,2166.451600986131,18.334188030966136
10,10.64642366350624,6.99401368318679,2.7351101424097295,115.94833515052329,263.50817321891304,718.7616324667791,1245.8866284838498,11.318980130254552
11,12.0433375743731,8.945243350897798,0.09306965166986314,101.56671683862744,338.55411112280837,533.888335177092,706.7735357719675,9.62841103546651
12,12.68517449842139,8.673501004753014,-1.3121949462951197,69.07322974127676,141.9689749512091,496.07939334460417,680.940027661591,6.903776997504112
13,18.857492106593746,11.154528079825296,-0.03170695881641613,77.92835267226046,164.0520387392995,438.0945518510668,711.2303189026436,8.707088638329965
14,12.845700598724463,9.53280843929312,-0.9644203199851653,56.68878612046775,127.87049055321062,313.7365316723829,415.18700916477167,7.469562418293541
15,11.523223018833535,8.745941271387906,-5.212268700512931,46.57371858876097,86.19027214392031,292.6903918310419,625.8852766485769,7.3633918209241385
16,12.89525961590525,9.454301814561989,-3.538348116307762,77.6172245967502,177.25036816231892,449.8056796085951,527.6288754828192,14.669252504993102
17,8.89030808311026,7.031066586677872,1.7564385415688575,28.089904757916763,62.95483615569654,83.71604874161835,118.74655286628993,9.59708109098818
18,10.745827389136515,9.4152392230425,7.759972388762024,39.17384600998123,73.71388021239044,96.60000274817877,106.94592881164962,28.053679186639073
19,7.9455245172594795,6.872823248539121,6.26586126817407,26.969160489890044,49.51838828078918,62.77842972119714,73.8519465257728,56.89166847292097
20,1.317937405457432,1.043522077392567,-0.09423564674102386,2.7301644762191737,6.22961623898157,8.593041846222302,10.71570224937468,14.433652450547354
