local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,27.599579793544983,25.657297656285916,25.657297656285916,254.36701937585445,282.16236723096847,933.2608100140152,1934.8419215981403,24.347965425236474
10,22.712230544432934,19.832240513193288,19.832240513193288,202.82175252973562,397.3304101410352,639.2921165746501,1112.1227403557496,15.908427127542572
11,17.98768534388245,14.013564252083958,13.732862518207192,136.76146560551263,311.73584308464706,466.6171696080556,683.5340754672791,11.318395504011436
12,15.313536483318144,11.628060641856797,9.611076239102202,101.1618365176415,216.05690019765507,389.80831400235076,690.8255908088736,9.068268121978491
13,19.99824745702891,11.300864957227986,8.483116806073681,113.29061930902657,206.41882044149455,420.3893045509183,673.1783792712206,11.221635962826223
14,14.049223024371365,9.529936388745773,5.307997789387515,107.93752372024261,169.7110917194919,309.4048636374904,415.4867322801613,12.495136242327435
15,9.2301041262486,7.3462789667455395,-0.21424574333826735,128.485841443017,168.39587208118743,355.2312168077562,629.7706054531056,17.439358699946695
16,11.058553171033557,8.944143803959607,0.6858434741683453,193.54072309719342,330.5586426047292,498.3734125746828,614.5752790676814,28.76915942250354
17,9.115495628396229,7.678122731929822,5.097541610415906,210.93308094147307,287.1961681594908,303.2757015484372,306.89858477831615,40.78908726476496
18,12.015918032810625,10.881850399845801,10.136719078023225,256.66450347672014,305.37385710330335,344.18902286307485,393.39053704763376,60.17752371640798
19,8.787428171450756,7.844993586749436,7.623875392121077,302.9239870657069,347.63920348718847,372.96465605063673,386.5776278168473,80.52117949033068
20,1.2700218008131656,0.980837293101051,-0.26863837748417835,349.8810011348624,403.6560026264927,441.1995683320515,476.600372016144,94.75458418391617
