local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,30.143375091552983,28.337408434716803,28.337408434716803,236.7099323616621,259.27139741702655,915.5846439826546,1917.961979565046,22.65783222641677
10,24.277455045070955,21.533666395218415,21.533666395218415,189.98438580072096,377.6239657575564,626.6420708072469,1097.018636891911,14.901521750920658
11,18.619837456938225,14.777008332970496,14.582635145678799,131.29760962852123,306.84501345963673,458.55203303656435,678.998623786794,10.86620611973759
12,15.40263979371431,11.623928331223187,9.820839291110643,100.68293389999765,211.39513464598133,390.67019827166996,692.3243693486622,9.025338718058915
13,19.831435794984166,11.053966486956343,8.181963858595843,114.89996912293567,205.07867880846266,421.177050660573,677.3708968010408,11.381044904702236
14,13.879186441612628,9.245795156976163,4.622986495863669,110.50250329003023,168.84753436023598,313.4012738746241,420.2837434704488,12.792065133028604
15,9.173020386618068,7.226452957207813,-1.0298002803706077,130.4620760635223,170.33896943118776,356.72791652742654,634.0942224404399,17.707592647245313
16,10.841992847963725,8.611598141603555,-0.07104966904009673,195.31878407752768,330.78921295100747,494.5156123746339,607.9064779803327,29.033462040513708
17,8.60973121817226,7.257812570376896,4.455716714897113,212.92300482132416,290.8427947289042,304.5032589463721,308.7107225539371,41.17388787746737
18,11.527392865772866,10.44745178540873,9.6581828975912,258.3277503574362,306.7702776000921,345.71171370255587,392.97687149591695,60.56748834827072
19,8.472531643922556,7.552934876905108,7.334116062912453,303.9792212144868,348.27094069906235,374.3203280835153,388.6536466091107,80.80167460437328
20,1.2760211643533412,0.9647990523665346,-0.41377610423897215,350.1895548099553,403.82123086147413,441.96770956045424,477.1808218953891,94.83814652393183
