local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,9.949879668795493,6.822952636919882,2.252280246943461,124.29367687426863,210.4704124279042,958.4413398650405,2053.064482592358,17.059136448611223
10,10.380525929951432,7.602799431049506,0.9351702185223241,115.95731044788918,256.7976864246135,699.7377678596416,1212.3316772029464,11.219035001080046
11,12.0526755979056,9.469245262201499,-1.0767276088108348,98.46972070671175,333.07586167722513,530.0716487946112,697.0862874849779,9.330163308427075
12,12.685554977409597,8.911218583793929,-1.9266326421570872,70.83766470134307,140.94988352783415,530.7915540188832,789.8816968454855,7.080129913626964
13,18.74083213193275,11.15001058287534,-0.19620451086313828,74.4669934703178,161.47080486201028,405.97282159997457,708.3732452795987,8.32034414358663
14,12.810167835034742,9.479322205384559,-0.8032431741929139,55.413744442443324,123.09245267050424,315.7315787148349,414.45790455454903,7.301557349712781
15,11.239943108073101,8.583705936331617,-4.798994165409135,47.03762311667493,91.32651940176142,296.2962740471033,626.8358127537904,7.436735992487791
16,12.670772842233848,9.389973680904827,-2.993421455359113,78.84139152694918,178.696965642825,457.5027696287403,538.8494197515467,14.900613699633176
17,8.976009463448825,7.192989098688066,2.3210128077918246,31.36231223753464,65.01919564740315,90.88852493537007,132.91839575000773,10.656471602723848
18,11.073053114760555,9.716855260697471,8.252016829304143,41.14709662067945,79.0705522195476,108.2614036447573,120.44125631670317,29.466788830590367
19,8.257735751691385,7.189623977591449,6.6332912404038105,32.78407772807787,59.35160373360886,97.53377179249561,130.51163584174327,63.58662855947621
20,1.3474927181548044,1.1009235994220727,0.05985467885938079,3.120215566526002,6.616077537458514,9.795664156407776,12.125135785188618,16.495748681189934
