local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,33.48211873201729,26.718786081094375,22.00057279723903,250.04665296430116,320.1545554316748,878.1664314950762,1943.328275018855,23.934420728007385
10,28.27010826491288,21.968777054846417,9.6902917486775,258.42810979709685,434.35707842560305,863.2405760388029,1212.9271506789355,20.269939989858567
11,22.400359344944842,17.554260767273476,15.700372441235006,125.95451064019217,271.9823269701226,471.7110415304409,691.9903525525631,10.424010598512098
12,21.71941628911321,15.567325154336464,13.521495873646147,81.32160918707596,136.0938240779938,370.6645699978165,712.9729349999999,7.289766394173278
13,29.156212364219385,20.72870107954336,20.612518928408853,54.080743262114524,106.34315109983322,369.43821657866584,649.9422000000002,5.356793150111794
14,23.557796730470756,16.183286242863122,-0.39353178118555043,109.07714161162109,180.4782956641665,277.91907351146557,336.4409969891508,12.627061455415287
15,16.53896352362077,12.238299805020604,5.70439039504602,105.26845751013472,115.37506229205913,299.6261185368659,614.5334459112381,14.288067616567027
16,16.28861132732332,12.117316246678383,8.03179155005647,178.77066168874669,276.6654809858905,543.7230604117035,821.0342995137707,26.57364085390554
17,16.346668947908494,12.727517729233103,10.08209441959382,192.44368766085105,241.26922174800933,279.630924545751,320.92259624564485,37.21370936467585
18,6.051561632467489,4.282962720901297,2.1090138878523645,282.9324983876149,336.4899250538333,371.12447481120944,378.8763124088034,66.33631414251079
19,3.4378755874923623,2.8595755789074047,2.045849734305426,322.39363870608156,378.4579194440094,399.7386639991669,432.2587109105671,85.6964689401185
20,1.2219101795702332,0.9317986350650805,-0.1389839162116824,350.5736044435233,403.4902811192093,446.66198870838707,480.3444265512359,94.94215463873853
