local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,10.086258531757752,6.69475939646393,2.784147740797942,127.29589889900357,202.71690875014895,968.494216158425,2074.3413319896736,17.564848401319917
10,10.411343641568763,7.493062455027712,1.2194518499732794,114.89817734081166,257.75801758913457,702.5641424234185,1217.3973780272859,11.216462786074262
11,12.043830100204907,9.435819141283881,-1.0064663465357568,101.48520450214822,333.4062436668159,525.2054892032143,697.2732329556336,9.620683757234898
12,12.702664824769382,8.952782469938215,-2.027964960234952,68.90594715236847,137.0376462947086,491.49608037260174,673.580925249516,6.887057326312916
13,18.75849569620945,11.27823710560504,-0.42861295104847114,77.2966351946941,162.62537622382536,434.88634744022846,706.5807175733296,8.636505597845519
14,12.842880913215241,9.511426210141028,-1.1233101976626227,56.264300887954114,128.11183539116502,311.54453456591455,413.14169332636186,7.413630387341837
15,11.402776699708001,8.657437653857174,-5.159113449912248,46.436625678282006,86.87068580463036,292.38577345459,624.2625544099889,7.341717175945908
16,12.748161008928813,9.387420453114359,-3.3431003740749636,78.17732958485652,177.6298160330988,453.6375234284431,533.6854880392181,14.775109440003655
17,8.884038226515635,7.075359522136279,2.0141812066667724,28.689962715059625,63.44213883355568,84.30316448439942,119.74087993181337,9.802094419570924
18,10.890702649762598,9.551138400702513,8.014921706409387,40.009937070073065,74.33104923192968,97.8293618519507,108.29139230655076,28.652431485932254
19,8.121539945758432,7.055180670965823,6.480912225824442,27.741142152671785,50.246496286386545,64.37331150527423,74.84294865207849,58.520170214479336
20,1.333714657096197,1.0808715315023432,0.007052025941145813,2.972820339282395,6.275054752246762,9.119666681339682,11.369191388441603,15.71650937109172
