local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,35.76776786291861,29.796008698180987,24.272107585194796,239.11890128036183,331.2888627825247,913.1858215404558,2001.350645948759,22.88841829880496
10,27.396980435511487,21.825545793160178,11.231771602477,252.66837622593067,423.8724898706948,840.1613461072546,1231.1302907789413,19.81817236312176
11,21.190127160372867,14.487967435139906,11.643787136495847,152.644042739712,307.9395333463347,511.2817303657639,735.2994732529166,12.632839516671908
12,21.725151692344646,15.53917590352757,13.477380381012214,81.64406960637808,135.7185963762253,371.6851995186773,712.9729349999999,7.318672132163189
13,28.881976597440644,20.43651132532432,20.429502511771766,55.51206035057158,109.53868805683334,372.67037896160383,649.9422000000002,5.498567636048933
14,26.54847678365685,19.413785613501275,18.12567239011357,52.35511957239907,108.96529927546536,275.81356733345814,407.1814413116326,6.060768576978057
15,16.80177979568199,12.430488131626758,7.119044443367906,101.80487493679435,113.5746560199422,297.77356450596903,620.470828669653,13.817956215925616
16,15.883843777439537,11.855821082539489,6.487841548263236,181.76513404484743,305.61611178338285,537.6624830985992,809.7516532745435,27.01875881781683
17,16.785105961231352,13.269686890686636,10.771030647495362,189.94140620773777,237.02358996659112,276.41519736073843,317.33850532854547,36.72983184249449
18,5.9140604866258695,4.166991039490851,1.8651849064149302,283.5804654967907,340.06953140613996,371.3865278915191,379.1435476809155,66.48823642062749
19,4.558321785597257,3.800866884016781,3.2170286848648892,318.7494199308352,374.278443213394,396.37410819859866,430.66722724509697,84.72778766483873
20,1.2457800563660621,0.9419023654260821,-0.0986033678295786,350.4841120943885,403.3692205183872,446.63075783480707,480.2685835645679,94.91791836897136
