local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,22.763543507564094,19.4226401429006,-10.737115703657242,121.11711982514399,231.15559719544447,617.1980637491516,1283.3174108314233,16.712273269864202
10,24.252354791950502,18.889359779024623,4.9396154057364665,167.34190063351448,306.91138330017395,717.5042980877383,1314.4502798947988,16.336065936357116
11,21.275600942556732,17.40910054517844,14.352513910149092,162.6044951966341,442.8960200265816,803.17088986291,977.6003897306359,15.414724081858884
12,22.942041417291385,18.073074787638678,-3.89582903688409,80.83740100990038,146.93894869113757,383.1982679711555,520.3541378135897,8.079590193198488
13,26.730047976797866,20.62431025006367,15.324931767624708,122.51424580641407,222.2666998244782,462.75360875,851.2700850000001,13.68875846998768
14,19.638472091970655,14.647222162609463,0.6814881340544535,59.75961717061773,148.34414662717452,286.7659677331972,468.4669687500001,7.87418854940146
15,18.99243309256975,15.65259763714507,-6.353943009060051,53.92899524525251,113.2330026377444,287.1059510370158,438.65747328657733,8.526274786127475
16,15.184421404264864,11.252511695855572,2.8974914457219376,100.69793990263793,280.4014938039707,603.6621801122587,762.2210519553997,19.031387876065132
17,14.55177112264262,11.682663920961819,-8.155150755943268,18.30579751399249,46.29023040810064,72.13553273720568,90.44316267491206,6.254283333854384
18,5.928107620415539,4.020675871964407,1.9094042659222203,23.022060402021125,50.81044794911176,122.03939688646464,233.72170386247174,16.486854432653065
19,2.6055414359565696,2.0546548907613804,-1.2230141538063308,5.120779856922279,8.001565724396334,26.58596757728158,51.59353584638848,10.80232771991716
20,1.273126101131462,0.9895726023873936,-0.5103852296651845,2.3718977143857796,5.85097492192714,9.643294626892006,14.492634611146002,12.539591499301169
