n_obs,nrmse,optimality_gap,total_regret,cvar90,max_regret,sse,actual_sum,oracle_sum,realized_sum,zone,block,cvar_lambda,train_start,train_end,test_start,test_end,history_rows
360,77.73968739215981,26.357731631324192,17970.021640797335,292.09411612969564,1047.3483887178002,11.064810442022715,81.185870103,68177.4209258634,50207.39928506607,z02,12,0.05,2013-02-26,2013-05-26,2013-05-27,2013-06-25,12
360,73.80317921353601,22.821919342086847,17789.10625610197,280.44067346510195,653.5484430444556,10.816162371747382,84.549837884,77947.45914861045,60158.35289250848,z02,13,0.0,2013-03-28,2013-06-25,2013-06-26,2013-07-25,12
360,73.97338127077649,21.911277313892487,17079.283933185096,267.06475023416965,655.9173564427158,10.866107532683468,84.549837884,77947.45914861045,60868.175215425355,z02,13,0.05,2013-03-28,2013-06-25,2013-06-26,2013-07-25,12
360,66.5130346440874,19.031681875148212,17324.82560319799,291.5186071516376,1082.2413449735755,15.512559853442038,112.353400819,91031.5006148823,73706.6750116843,z02,14,0.0,2013-04-27,2013-07-25,2013-07-26,2013-08-24,12
360,68.73192609079973,19.79233994372265,18017.26405756948,307.3713649676459,1133.3430841354914,16.564829620098507,112.353400819,91031.5006148823,73014.23655731282,z02,14,0.05,2013-04-27,2013-07-25,2013-07-26,2013-08-24,12
360,86.13386810290807,15.305915286618252,17282.873317753598,264.2540976311441,864.6988457791889,33.17134964035753,126.86997971,112916.30062047824,95633.42730272465,z02,15,0.0,2013-05-27,2013-08-24,2013-08-25,2013-09-23,12
360,88.93428105811616,15.278423307031147,17251.830391436502,265.95720439915493,872.7613336242274,35.36336936875824,126.86997971,112916.30062047824,95664.47022904173,z02,15,0.05,2013-05-27,2013-08-24,2013-08-25,2013-09-23,12
360,101.49628899242516,32.82688580067033,43652.04023114509,549.749212769208,2413.3398190006496,76.462171976102,163.464858225,132976.4891382225,89324.44890707741,z02,16,0.0,2013-06-26,2013-09-23,2013-09-24,2013-10-23,12
360,100.45656205135667,32.76777682537283,43573.43919102888,556.1325971211256,2413.3398190006496,74.90364045744458,163.464858225,132976.4891382225,89403.04994719362,z02,16,0.05,2013-06-26,2013-09-23,2013-09-24,2013-10-23,12
360,81.79272034087998,15.652272952553298,24288.416087188976,333.9339306895648,1595.0980322556002,56.52087508612344,174.397813772,155175.0097945161,130886.59370732713,z02,17,0.0,2013-07-26,2013-10-23,2013-10-24,2013-11-22,12
360,79.6646659897551,14.622979796532185,22691.21033151893,316.1700874117182,1367.894632323739,53.61805442469438,174.397813772,155175.0097945161,132483.79946299718,z02,17,0.05,2013-07-26,2013-10-23,2013-10-24,2013-11-22,12
360,33.835535048197336,13.7417399249962,28189.557662741343,433.11086492036287,1417.8149421822004,11.140098264483761,187.16417004,205138.1980491756,176948.64038643427,z02,18,0.0,2013-08-25,2013-11-22,2013-11-23,2013-12-22,12
360,35.1274084105919,14.15761400596729,29042.674258599,432.4939021028975,1417.8149421822004,12.007017536975098,187.16417004,205138.1980491756,176095.5237905766,z02,18,0.05,2013-08-25,2013-11-22,2013-11-23,2013-12-22,12
360,55.143069418841236,33.286262587246746,69174.23069941865,1502.8474587704477,7497.7493796238505,21.026047658703575,157.775344136,207816.15394070098,138641.92324128235,z02,19,0.0,2013-09-24,2013-12-22,2013-12-23,2014-01-21,12
360,53.70107821450286,32.101682190462675,66712.4812784865,1451.8093733006403,7082.753921359234,19.940763495904097,157.775344136,207816.15394070098,141103.6726622145,z02,19,0.05,2013-09-24,2013-12-22,2013-12-23,2014-01-21,12
360,45.34645232712595,19.655770296944954,68605.5910976644,1275.2363866754986,7002.39957731052,15.696832417779172,165.773056676,349035.37262199074,280429.78152432636,z02,20,0.0,2013-10-24,2014-01-21,2014-01-22,2014-02-20,12
360,47.158615595674696,20.08628450213066,70108.23795792492,1293.611895607266,7071.945749197164,16.97647369261057,165.773056676,349035.37262199074,278927.13466406584,z02,20,0.05,2013-10-24,2014-01-21,2014-01-22,2014-02-20,12
360,47.99325968809258,18.39198421830652,42718.06796747759,763.5903206421088,2778.206326116084,14.456178890453497,150.31342105,232264.59668749623,189546.52872001863,z02,21,0.0,2013-11-23,2014-02-20,2014-02-21,2014-03-22,12
360,50.55042229664908,17.32464157914268,40239.00889135002,691.1851287031959,1902.5453002686086,16.03771877335886,150.31342105,232264.59668749623,192025.58779614617,z02,21,0.05,2013-11-23,2014-02-20,2014-02-21,2014-03-22,12
360,85.61855822087182,20.09300225199292,20981.339369290843,244.7235170496774,626.1820786502915,21.406239446046733,102.530607282,104421.12684882525,83439.78747953441,z02,22,0.0,2013-12-23,2014-03-22,2014-03-23,2014-04-21,12
360,82.26099266937419,19.557529709179867,20422.192906119395,235.0746571531483,626.4888012521787,19.760250714540994,102.530607282,104421.12684882525,83998.93394270586,z02,22,0.05,2013-12-23,2014-03-22,2014-03-23,2014-04-21,12
360,63.6496666482608,21.36394549870837,27463.465671178943,574.2000169318999,5314.736391467746,14.077944968312366,111.84710526,128550.53235760846,101087.0666864295,z02,23,0.0,2014-01-22,2014-04-21,2014-04-22,2014-05-21,12
360,63.41290200315625,22.72092492785822,29207.86995133431,619.4596217860338,5354.982496321758,13.973405213127744,111.84710526,128550.53235760846,99342.66240627415,z02,23,0.05,2014-01-22,2014-04-21,2014-04-22,2014-05-21,12
360,82.73819722833447,21.41966442972391,17687.001258051772,287.97771094638006,1068.4343819436885,11.68614001327424,78.39362356599999,82573.6617680511,64886.66050999933,z02,24,0.0,2014-02-21,2014-05-21,2014-05-22,2014-06-20,12
