n_obs,total_regret,pooled_optimality_gap,pooled_cvar90,maximum_regret,pooled_nrmse,zone,cvar_lambda
25920,2185796.4306644094,21.092995037013203,551.5858105047014,22671.758685506487,67.27912765741956,전체,0.0
25920,2168233.151297642,20.92350891318222,545.9014023020143,21990.32463847693,68.75319540531562,전체,0.05
8640,696005.0449246995,21.11124950944415,543.0423727139125,10937.963508535588,70.43878278958215,z01,0.0
8640,687121.6584341566,20.841798317878485,532.2488021902168,10323.874711230907,72.46655530072148,z01,0.05
8640,704286.7083340364,20.805971854779,508.2040022720324,12857.597888976208,68.45338572103005,z02,0.0
8640,707967.5086575645,20.914709712569245,513.2220802421408,12728.050410597109,69.4120930879402,z02,0.05
8640,785504.6774056735,21.340603685715767,602.890290897337,22671.758685506487,63.14309300394488,z03,0.0
8640,773143.9842059207,21.004788174434708,591.4094124322971,21990.32463847693,64.68551789641351,z03,0.05
