zone,block,nrmse_lambda0,optimality_gap_lambda0,total_regret_lambda0,cvar90_lambda0,max_regret_lambda0,nrmse_lambda005,optimality_gap_lambda005,total_regret_lambda005,cvar90_lambda005,max_regret_lambda005,nrmse_change,optimality_gap_change,total_regret_change,total_regret_change_percent,cvar90_change,cvar90_change_percent,max_regret_change,max_regret_change_percent
z01,1,56.08944781342874,17.873099260754525,20083.241031465448,393.9697543794588,2651.0635753482275,56.597115525446505,17.653271749173246,19836.230211684007,387.000931645549,2643.799990139041,0.5076677120177635,-0.2198275115812791,-247.01081978144066,-1.229935045814747,-6.9688227339098034,-1.7688725229393274,-7.263585209186658,-0.2739875903667289
z01,2,68.8966369431313,19.744747278581652,20131.17042373288,394.74849658732484,3234.868174546128,73.43039226172073,20.465619774125827,20866.151067284773,409.0239218773407,3454.825431448706,4.533755318589428,0.7208724955441745,734.9806435518913,3.65095833019929,14.275425290015846,3.6163343023291006,219.95725690257768,6.799574048591301
z01,3,67.86626399607036,19.057049894918077,19964.40250765553,381.40662625092966,1960.7058548620155,67.97845675064775,19.1812985996718,20094.566996201032,381.8066347963275,1949.7450037157384,0.11219275457739286,0.12424870475372174,130.16448854550254,0.6519828905252225,0.4000085453978386,0.10487718824650692,-10.960851146277037,-0.5590257773289714
z01,4,101.72571773965089,27.741662778216398,35655.90084193028,652.8151652955886,4418.90769216,101.81572897599942,28.41488401881697,36521.18098001862,652.1506006316498,4418.90769216,0.09001123634853059,0.6732212406005722,865.2801380883393,2.426751582926761,-0.6645646639387905,-0.10179982011261669,0.0,0.0
z01,5,56.053675157660656,24.345436359715514,32815.22622497655,573.8564259929184,3412.6730767589997,57.013392796360954,24.70555309131449,33300.62775322246,593.5047468286261,3412.6730767589997,0.9597176387002975,0.36011673159897484,485.40152824591496,1.4791960442938006,19.64832083570775,3.423908829061403,0.0,0.0
z01,6,56.973344591344116,20.071558427039808,28591.741659097428,506.00012745437664,1434.8859404506552,60.16298012989869,19.85639439072047,28285.24256172373,499.80101897896446,1495.9467497382004,3.189635538554576,-0.21516403631933656,-306.4990973736967,-1.0719847046329676,-6.199108475412174,-1.225119943467033,61.060809287545226,4.255446901122178
z01,7,33.86323784092273,14.174911198120583,22794.25172285898,499.50369745031355,7080.539463925451,40.09719470585825,14.131267389309059,22724.069416226528,484.5951581231763,6638.567606752836,6.2339568649355215,-0.043643808811523854,-70.18230663245049,-0.30789475998489957,-14.908539327137248,-2.98467046455051,-441.9718571726153,-6.242064738490789
z01,8,47.69310701097739,14.862082735651661,17965.550199655776,291.2284936359466,951.1124933071009,49.56508267331611,14.793670454834976,17882.852216664684,287.75182446398685,912.9973132580814,1.8719756623387198,-0.06841228081668582,-82.69798299109243,-0.46031422401233746,-3.47666917195977,-1.1937943051361652,-38.1151800490195,-4.007431330913308
z01,9,45.85946353541711,12.973760000860013,17102.557239575523,245.9372576518536,1131.5787942896402,46.61775729273069,13.369590707720361,17624.35796047771,249.04081544892517,1172.0502836258975,0.7582937573135737,0.39583070686034816,521.8007209021889,3.0510099372433954,3.1035577970715735,1.2619307162743678,40.471489336257264,3.5765507042453586
z01,10,69.6666652584811,30.211955875070757,46036.14431856203,881.7591501489156,8498.289818822386,73.87147505103447,29.971225451959523,45669.32594552972,874.2408229364243,8440.912868954732,4.2048097925533625,-0.24073042311123416,-366.81837303230714,-0.7968051592113979,-7.518327212491386,-0.8526508867213519,-57.37694986765382,-0.6751587800709364
z01,11,72.33547475416782,14.138607130131966,15495.529548637267,231.364393439389,1381.075267718175,84.5371698259267,13.553184663002229,14853.922418999151,211.70725258239364,786.035333273597,12.201695071758877,-0.585422467129737,-641.607129638116,-4.140595051135515,-19.65714085699537,-8.496182392103904,-595.039934444578,-43.0852646740759
