W1_W2,nRMSE_percent,optimality_gap_percent,mean_regret,CVaR90_regret,max_regret,total_realized_profit,CVAR_alpha,CVAR_lambda
0/1,36.11893394807446,14.92881003484084,88.56103179395733,521.261960350763,2771.3749036192057,181678.06027417537,0.9,0.0
1/20,37.84899103254814,14.387718672368905,85.35115711248721,487.528768586443,1554.9409769798078,182833.6151595046,0.9,0.0
1/10,39.060187392761655,12.602961663959958,74.76358035336757,429.65932661139567,1197.5617175419484,186645.1427927877,0.9,0.0
1/5,43.7222573601034,11.593703730142565,68.77643712115356,376.8111727248602,1075.4657660205135,188800.51435638472,0.9,0.0
1/2,53.21933085315235,11.268717793245404,66.84854803803381,333.4880959244493,780.3503747411164,189494.55442630785,0.9,0.0
1/1,59.12794499342751,10.835601851890072,64.27920764430374,312.8430725734162,840.8996436752509,190419.51696805065,0.9,0.0
2/1,65.99173685643625,10.756062151622388,63.80736039674357,303.5269772302613,838.7325117046297,190589.38197717234,0.9,0.0
5/1,67.02602928174873,10.686721874730766,63.39601840417557,300.6118102544688,837.4516036355085,190737.4650944968,0.9,0.0
10/1,67.94726024886963,10.670382935187158,63.299092169531,301.00742115144726,837.4516036355078,190772.35853896884,0.9,0.0
20/1,67.82251532206692,10.690868162296098,63.420615107063696,301.9412328205867,837.4516036355078,190728.61028145708,0.9,0.0
1/0,67.83748615741524,10.691899218226881,63.426731560877116,302.3706096728178,834.9626565296442,190726.4083580842,0.9,0.0
