local_hour,RMSE_AR,RMSE_MLR,RMSE_combo,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent,combo_w0,combo_w_AR,combo_w_MLR
9,35.76776786291864,27.599579793544997,18.872043203443766,15.896985025961568,15.896985025961568,318.90611061261114,359.8842247218728,995.097270683435,1997.4445668090402,30.52563565097761,-0.09760312630324364,0.0,1.0
10,27.396980435511487,22.712230544432945,27.417560080788046,23.632838171505423,22.97127494209831,183.4192095170474,323.82685650672585,657.2420406043465,1093.3361133495782,14.386578816123864,0.0685965811719919,0.42600893566596754,0.5739910643340325
11,21.190127160372867,17.987685343882458,19.448744308665823,15.63562755080365,15.314764010940138,129.16513254755824,292.0708001352101,426.8815577597691,687.6100845064075,10.689722057514976,0.024064433545055483,0.3946922494951606,0.6053077505048394
12,21.72515169234464,15.313536483318138,16.327308894714523,11.755890583345922,10.860217016577149,98.79728433617147,176.95838470064666,390.7068336233274,730.4920307271954,8.856306833926546,0.0,0.32308394053496736,0.6769160594650326
13,28.881976597440644,19.998247457028917,21.294329610057986,12.701400339787089,11.6853121812972,99.6885015070408,192.9980623378302,403.3366918273845,660.780552058169,9.874322167312346,0.013037721863792073,0.16104556708748144,0.8389544329125186
14,26.54847678365683,14.049223024371363,17.04211564894853,11.750597638729282,10.044614551619842,89.67863565650379,141.20226647541625,288.954833417658,403.9141220209963,10.381438557533912,0.020880046072940427,0.20663749372981136,0.7933625062701887
15,16.80177979568199,9.2301041262486,9.263061797957109,7.2582195186940535,-0.041590759033580116,128.30195767418772,163.44934340152415,353.47361090015085,631.0406468870675,17.414400191151515,-0.001862803465201944,0.04894601491095737,0.9510539850890426
16,15.883843777439566,11.058553171033553,10.968348609176362,8.485455512380865,-2.2665597819195686,199.03672004458844,334.80269221868974,481.5624445562792,593.7527986496523,29.586120369196895,-0.03888869143747553,0.1614040328349686,0.8385959671650314
17,16.785105961231352,9.115495628396227,7.692392310710697,5.504154400233033,-2.379512894013252,229.56840426727638,297.81003727673146,333.0450576888373,343.0343661560241,44.39268432005193,-0.08482365133425546,0.1771944252339469,0.8228055747660531
18,5.9140604866258695,12.015918032810616,4.730153764554171,3.8041436369857435,1.3453570825912626,285.3362294112494,331.30869209407183,379.21869791926156,394.7979217652817,66.89989258332837,-0.04279527337971494,0.545465274500969,0.45453472549903096
19,4.558321785597255,8.787428171450756,4.322592382681098,3.595996362302024,3.157904393356804,319.1501320097574,373.7933597621719,392.51435985866874,426.51564434768,84.8343022051476,-0.008885063538693852,0.8117969338493977,0.18820306615060234
20,1.2458401977330338,1.2700218008131676,1.2458401977330338,0.9420978996384015,-0.09763597774159632,350.48226729506285,403.3699774671344,446.6311108583033,480.26951974568124,94.91741876141211,0.0,1.0,0.0
