local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent,combo_w0,combo_w_AR,combo_w_MLR
9,35.76776786291864,29.796008698181005,24.27210758519483,239.11890128036163,331.2888627825242,913.1858215404562,2001.3506459487614,22.88841829880494,0.0,1.0,0.0
10,27.396980435511487,21.825545793160178,11.231771602477,252.66837622593067,423.8724898706948,840.1613461072546,1231.1302907789413,19.81817236312176,0.0,1.0,0.0
11,20.00463873768657,13.911913497659764,11.899229089136856,152.1371289309236,308.9929553523791,499.5809326424208,728.4304830424419,12.590887268288858,-0.0002999398801299462,0.8633673331499553,0.13663266685004472
12,16.708043443465577,12.089870860843813,11.329585771853637,96.57763352210323,171.29595521646948,390.5880419237597,736.589804308245,8.657334677903771,0.003856958320692164,0.3471911817005669,0.6528088182994332
13,22.82868894280082,14.680748047878295,14.338919042815581,86.96688661720513,179.88811986096405,389.1579559312932,652.9779739489181,8.614223740596172,0.01853816354909698,0.33968228812183127,0.6603177118781687
14,18.522533334930877,12.362551440656581,11.355066809728683,84.60245187127558,132.2161752747325,286.5238675999669,406.332523806689,9.79380595488208,0.01285676262514383,0.37147087175680804,0.628529128243192
15,9.943095880695969,7.361021945496366,1.3182722818485382,124.88841905645094,156.25412243783595,343.1207676119989,633.5467453693287,16.951081247038648,-0.004491479566101782,0.2702287692623108,0.7297712307376891
16,10.774245690031266,8.572548149548144,-0.5564689459042022,196.71213542171807,329.4703363312486,492.38210767840275,632.5179377870121,29.240578901043584,-0.029593702900631704,0.2959425094704928,0.7040574905295072
17,7.519066701302986,5.310583171956898,-0.42884053839210984,226.2179081131855,300.7722199764074,326.78737404162104,342.0469325032299,43.74478367118505,-0.07172461981279676,0.29013536850315635,0.7098646314968436
18,4.928691182176202,3.8207367328594075,1.6205726937630869,284.7196840228715,332.759652904326,375.9894996378923,381.6763918162578,66.755337437491,-0.02576862200164237,0.7180390071387543,0.28196099286124565
19,4.30475510931083,3.581832866208902,3.1269239456307947,319.2359144909669,373.9168548883344,392.70845854527283,426.84594504006765,84.85710431677138,-0.008846947151654407,0.8196919410373413,0.18030805896265867
20,1.2458401977330338,0.9420978996384015,-0.09763597774159632,350.48226729506285,403.3699774671344,446.6311108583033,480.26951974568124,94.91741876141211,0.0,1.0,0.0
