local_hour,RMSE_AR,RMSE_MLR,RMSE_combo,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent,combo_w0,combo_w_AR,combo_w_MLR
9,35.76776786291864,27.599579793544997,20.968273332428172,18.336537426308613,18.336537426308613,302.77481432055623,340.45794698028936,979.6414864510361,1981.7972777132143,28.981550866138235,-0.07320760229977319,0.0,1.0
10,27.396980435511487,22.712230544432945,27.417560080788046,23.632838171505423,22.97127494209831,183.4192095170474,323.82685650672585,657.2420406043465,1093.3361133495782,14.386578816123864,0.0685965811719919,0.42600893566596754,0.5739910643340325
11,21.190127160372867,17.987685343882458,20.425141786323426,16.611584954966688,16.015305549658276,124.83358795058948,286.853477660165,426.89104802970286,686.7895833366617,10.331242900577804,0.033884812977462035,0.5077778232935304,0.4922221767064696
12,21.72515169234464,15.313536483318138,16.52868575128939,11.892896293796507,11.00804453672577,98.15213346438186,172.12977387695506,390.1412973853406,735.1862906152625,8.798474737496623,0.0,0.3613187805068662,0.6386812194931337
13,28.881976597440644,19.998247457028917,22.084923144543843,13.602376191752455,13.039340264520858,93.52982355772836,184.65741977232983,396.2067385778248,659.1022453759049,9.264294237542147,0.011018845229404427,0.29095672178290694,0.709043278217093
14,26.54847678365683,14.049223024371363,17.849291400376703,12.377782111848877,11.125646361861337,85.29193256737474,138.12729857788776,284.65734248317773,400.8954627594884,9.873622083113288,0.026572306590691326,0.24656718257036153,0.7534328174296385
15,16.80177979568199,9.2301041262486,9.501570396371935,7.2811482900970805,0.8502438566364389,126.23010203467155,156.21116235406012,348.1370501860913,631.8407553247467,17.133187621219793,-0.0007762657665811824,0.15574403133579404,0.8442559686642059
16,15.883843777439566,11.058553171033553,10.783840360570666,8.537799211547842,-1.0970580559834824,197.46879926423614,331.0529531444366,489.0006290372489,621.2209191393329,29.353054365464132,-0.03300628720142461,0.2615869861741361,0.7384130138258639
17,16.785105961231352,9.115495628396227,7.606713090125543,5.380404639662547,-2.0100341250917326,229.07355319627305,298.4836319275071,332.324663730187,342.88729325067015,44.29699272237495,-0.08264373644586837,0.203895328169117,0.796104671830883
18,5.9140604866258695,12.015918032810616,4.730153764554171,3.8041436369857435,1.3453570825912626,285.3362294112494,331.30869209407183,379.21869791926156,394.7979217652817,66.89989258332837,-0.04279527337971494,0.545465274500969,0.45453472549903096
19,4.558321785597255,8.787428171450756,4.322592382681098,3.595996362302024,3.157904393356804,319.1501320097574,373.7933597621719,392.51435985866874,426.51564434768,84.8343022051476,-0.008885063538693852,0.8117969338493977,0.18820306615060234
20,1.2458401977330338,1.2700218008131676,1.2458401977330338,0.9420978996384015,-0.09763597774159632,350.48226729506285,403.3699774671344,446.6311108583033,480.26951974568124,94.91741876141211,0.0,1.0,0.0
