local_hour,Baseline_RMSE,Proposed_RMSE,RMSE_change,Baseline_mean_regret,Proposed_mean_regret,mean_regret_change,Baseline_gap_percent,Proposed_gap_percent,gap_change_percent_point
9,19.91697850715911,35.76776786291864,15.850789355759527,354.56110091163595,239.11890128036163,-115.44219963127432,33.93852492085205,22.88841829880494,-11.050106622047114
10,24.218116349328014,27.396980435511487,3.1788640861834736,250.6249665445706,252.66837622593067,2.0434096813600604,19.657896487372852,19.81817236312176,0.16027587574890845
11,22.92936328496359,21.190127160372867,-1.7392361245907217,129.90868954842378,152.64404273971195,22.73535319128817,10.751258925216062,12.632839516671902,1.8815805914558403
12,18.36546936853204,21.72515169234464,3.3596823238125992,126.50415894116774,81.64406960637807,-44.86008933478968,11.339984240241003,7.318672132163188,-4.021312108077815
13,26.80016053497713,28.881976597440644,2.0818160624635134,56.11671371800757,55.51206035057158,-0.6046533674359864,5.558459620173015,5.498567636048933,-0.05989198412408214
14,24.507046240897417,26.54847678365683,2.0414305427594144,50.7668008410595,52.35511957239922,1.5883187313397187,5.876900555364303,6.060768576978075,0.18386802161377158
15,17.573863006374186,16.80177979568199,-0.7720832106921947,108.8107095733497,101.80487493679435,-7.005834636555349,14.768856812032032,13.817956215925616,-0.9509005961064165
16,15.419408900381143,15.883843777439566,0.464434877058423,187.92500294922442,181.76513404484726,-6.159868904377163,27.934402035925245,27.018758817816806,-0.9156432181084391
17,12.208178094994244,16.785105961231352,4.576927866237108,218.55223235773025,189.94140620773777,-28.610826149992477,42.26243715665509,36.72983184249449,-5.532605314160598
18,6.593144513982701,5.9140604866258695,-0.6790840273568319,279.5875028355614,283.5804654967907,3.992962661229285,65.55204695153462,66.48823642062749,0.9361894690928665
19,2.469914450461112,4.558321785597255,2.088407335136143,329.39849350807515,318.7494199308352,-10.64907357723996,87.55845146675375,84.72778766483873,-2.8306638019150228
20,1.2351409895779566,1.2458401977330338,0.010699208155077189,350.954916371943,350.48226729506285,-0.47264907688014546,95.04542132971225,94.91741876141211,-0.1280025683001469
