profit_type,local_hour,baseline_mean_regret,proposed_mean_regret,mean_regret_change,baseline_P90_regret,proposed_P90_regret,baseline_max_regret,proposed_max_regret,baseline_CVaR90_regret,proposed_CVaR90_regret,CVaR90_change
4항,16,99.77064461312881,107.82403314254285,8.053388529414036,267.7644929589796,296.8603674084818,784.1595984753001,801.3893470424742,603.809556992033,643.3635206274195,39.55396363538648
4항,17,29.397724102449583,18.749264746276992,-10.64845935617259,80.69751379947259,47.27836861596893,117.17673073923439,95.34172318235309,110.76463453048878,75.69685802766568,-35.067776502823094
4항,18,27.366615890992367,26.85317897253083,-0.5134369184615366,54.644213710318716,54.98750631265564,245.94461280257661,244.90572780429193,131.377296206791,127.38601038327829,-3.9912858235126976
4항,19,5.647986281345984,5.082578948167321,-0.5654073331786629,10.092306612188017,8.220088919720656,54.818509096008555,51.46495322554871,27.41117777475867,26.250036093745763,-1.1611416810129072
4항,20,2.535801239088895,2.4358434299126617,-0.09995780917623343,6.506893959870899,6.045159082899387,15.772639330184992,14.880965639958298,10.311641748607952,9.927699664000075,-0.3839420846078774
Zhang,9,194.60334875303093,130.19667500634776,-64.40667374668317,383.04654437281954,351.67077545953686,3070.254295720399,1561.4368366253777,1371.4525070960308,807.2393201977461,-564.2131868982847
Zhang,10,159.49276160121627,156.08343582763726,-3.4093257735790132,372.2152566055771,318.34228648276235,1453.6614365521864,1349.814640203362,850.9479810103034,722.7223122748679,-128.22566873543542
Zhang,11,149.7486209964683,184.02665606090207,34.278035064433766,400.15074664797186,552.4943347500005,1084.805484868168,1277.2911374999999,823.0932439404528,1029.0503999999999,205.95715605954706
Zhang,12,83.48648259202619,87.15751687856809,3.6710342865418966,154.4052574595013,236.77008266677527,687.3762152136827,629.2976869052555,517.4733303267853,501.71162220879506,-15.761708117990281
Zhang,13,119.4043129693065,113.44408474828197,-5.960228221024536,260.69514412376844,236.33713391557768,888.7639425,888.7639425,479.66179178020224,466.0531555227952,-13.608636257407056
Zhang,14,91.3760182054601,87.97609652725637,-3.399921678203725,222.35107185203944,222.2029885735921,491.81662500000016,491.81662500000016,368.5297898178182,363.5691642210308,-4.960625596787395
Zhang,15,61.596991914620425,57.8987313590985,-3.6982605555219266,141.88315235127112,125.75588035902729,459.83275062895314,456.22415620142624,325.34874492887076,314.4350792168079,-10.91366571206288
Zhang,16,101.43409773433639,102.38465061285794,0.9505528785215489,295.3704657224094,309.5688123423163,784.1595984753001,762.2210519554001,627.47021424965,628.2583548426838,0.7881405930338587
Zhang,17,31.254263047665923,25.78344978326479,-5.470813264401134,85.17135849564768,60.33664945156315,124.6642793051098,117.48631940448297,115.49645636922583,102.05029404437164,-13.446162324854185
Zhang,18,29.866211807091943,29.35603498341497,-0.510176823676975,55.01454359875363,55.1939073447566,308.1365634987,307.1806929224292,156.1383226593517,151.3840583177743,-4.754264341577397
Zhang,19,10.290729288246958,9.676187308331727,-0.6145419799152307,10.463481754706075,8.505860130117362,139.24659036222224,140.6015994191846,73.60830230808331,72.04547597926252,-1.5628263288207904
Zhang,20,2.561316830427903,2.452009362282715,-0.10930746814518821,6.908621416555827,6.66606897602426,16.105907061359083,14.932593220930514,10.49667170111325,10.018903791072807,-0.47776791004044306
