local_hour,Baseline_RMSE,Proposed_RMSE,RMSE_change,Baseline_mean_regret,Proposed_mean_regret,mean_regret_change,Baseline_gap_percent,Proposed_gap_percent,gap_change_percent_point
9,19.91697850715911,22.117928927066753,2.2009504199076417,189.74167174743997,137.3494066376609,-52.39226510977906,26.181390983389154,18.95207564790323,-7.229315335485925
10,24.218116349328014,24.039914155182746,-0.1782021941452676,172.66383949479174,166.08129188379903,-6.5825476109927195,16.855598365581088,16.213004183279498,-0.6425941823015897
11,22.92936328496359,25.27306578942407,2.343702504460481,158.62686492827274,185.4694561110975,26.842591182824748,15.037649186037,17.582296775422627,2.5446475893856277
12,18.36546936853204,20.96431927793194,2.598849909399899,87.78159277072103,97.12268210180603,9.341089331085001,8.773652878904388,9.707282273347465,0.9336293944430771
13,26.80016053497713,26.72141121421469,-0.07874932076244079,129.9711372546028,125.08474258007253,-4.88639467453028,14.521931667923068,13.975965147471477,-0.5459665204515911
14,24.507046240897417,24.37439166501939,-0.13265457587802487,98.93015780377688,95.79062717983419,-3.13953062394269,13.035470316767544,12.62179202932196,-0.41367828744558466
15,17.573863006374186,18.636240759360422,1.0623777529862366,61.243438095645764,56.370789500223886,-4.872648595421879,9.682701850385982,8.91232701451395,-0.7703748358720315
16,15.419408900381143,15.67985813369579,0.2604492333146471,99.77064461312881,107.8240331425428,8.053388529413994,18.85613388032938,20.37818250384761,1.5220486235182307
17,12.208178094994244,14.00708293433121,1.7989048393369664,29.397724102449583,18.749264746276992,-10.64845935617259,10.043905258247312,6.405796520748724,-3.6381087374985883
18,6.593144513982701,6.7653776388386735,0.1722331248559721,27.366615890992367,26.85317897253083,-0.5134369184615366,19.598133469822322,19.230444410406847,-0.3676890594154756
19,2.469914450461112,2.608040686635992,0.13812623617487985,5.6479862813459825,5.082578948167321,-0.5654073331786611,11.914474059301778,10.721742585015908,-1.1927314742858695
20,1.2351409895779566,1.266687075940095,0.031546086362138404,2.535801239088895,2.435843429912661,-0.09995780917623431,13.406105781349337,12.877655466383011,-0.5284503149663262
