local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent
9,19.91697850715911,14.737095771574413,9.15891034322076
10,24.218116349328014,17.057911593776755,12.984060084429656
11,22.92936328496359,17.493728591470024,13.653892641891636
12,18.36546936853204,13.169911200208018,2.137714616162239
13,26.80016053497713,20.2062684627787,18.149903642430765
14,24.507046240897417,19.170593445319998,15.75608120487146
15,17.573863006374186,13.547931503074158,-0.5868788913986299
16,15.419408900381143,11.750775647634985,1.3623267488534458
17,12.208178094994244,9.413481048233216,-0.07691282426138664
18,6.593144513982701,4.736354784173031,3.43308559923076
19,2.469914450461112,1.988561330853596,-0.8698192328849277
20,1.2351409895779566,0.9436433477749121,-0.38251891677013644
