local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,22.071442393592235,16.35534469231472,3.1145860884883647,130.19667500634776,351.67077545953686,1561.4368366253777,17.86931483518273
10,24.005400328005862,18.85248896593774,4.594015681232186,156.0834358276372,318.34228648276235,1349.814640203362,15.101294803021787
11,26.762986266033757,23.242133979811307,21.79158118324106,184.02665606090207,552.4943347500005,1277.2911374999999,17.43681958097527
12,20.661582683421116,14.719179708612137,5.294145972425399,87.15751687856807,236.77008266677527,629.2976869052555,8.711277327549972
13,26.812014823389486,20.80863752551151,15.480886869832736,113.44408474828194,236.33713391557768,888.7639425,12.675331474690793
14,24.319550819630425,18.780178514409737,14.549123909497903,87.97609652725637,222.2029885735921,491.81662500000016,11.592115289462768
15,18.579819705249605,14.938405990149677,-4.063347432804421,57.89873135909851,125.75588035902729,456.22415620142624,9.15389747372139
16,15.184421404264873,11.252511695855578,2.897491445721947,102.38465061285794,309.5688123423163,762.2210519554001,19.350167443869076
17,12.551424813100814,9.80359968995304,-3.1153726028157287,25.78344978326478,60.33664945156315,117.48631940448297,8.760852782620475
18,6.790511599561616,4.753476918594227,3.3042676537114297,29.35603498341496,55.1939073447566,307.1806929224292,21.022821895165542
19,2.609911791300843,2.0606408963910643,-1.2513831072551853,9.676187308331729,8.505860130117362,140.6015994191846,18.767528961775714
20,1.2665878558117805,0.9783417933612112,-0.4678957825467217,2.452009362282715,6.66606897602426,14.932593220930514,12.963120445288435
