local_hour,Baseline_AR_RMSE,Proposed_AR_RMSE,Proposed_minus_Baseline
9,19.91697850715911,35.76776786291864,15.850789355759527
10,24.218116349328014,27.396980435511487,3.1788640861834736
11,22.92936328496359,21.190127160372867,-1.7392361245907217
12,18.36546936853204,21.72515169234464,3.3596823238125992
13,26.80016053497713,28.881976597440644,2.0818160624635134
14,24.507046240897417,26.54847678365683,2.0414305427594144
15,17.573863006374186,16.80177979568199,-0.7720832106921947
16,15.419408900381143,15.883843777439566,0.464434877058423
17,12.208178094994244,16.785105961231352,4.576927866237108
18,6.593144513982701,5.9140604866258695,-0.6790840273568319
19,2.469914450461112,4.558321785597255,2.088407335136143
20,1.2351409895779566,1.2458401977330338,0.010699208155077189
