local_hour,Baseline_RMSE,Proposed_RMSE,RMSE_change,Baseline_mean_regret,Proposed_mean_regret,mean_regret_change,Baseline_gap_percent,Proposed_gap_percent,gap_change_percent_point
9,19.91697850715911,22.071442393592235,2.154463886433124,194.60334875303087,130.19667500634776,-64.40667374668311,26.709042352112533,17.86931483518273,-8.839727516929802
10,24.218116349328014,24.005400328005862,-0.2127160213221515,159.49276160121624,156.0834358276372,-3.4093257735790417,15.431151929201482,15.101294803021787,-0.32985712617969476
11,22.92936328496359,26.762986266033757,3.8336229810701674,149.74862099646828,184.02665606090207,34.278035064433794,14.18892101126441,17.43681958097527,3.247898569710861
12,18.36546936853204,20.661582683421116,2.2961133148890767,83.48648259202619,87.15751687856807,3.6710342865418824,8.344362356881796,8.711277327549972,0.36691497066817647
13,26.80016053497713,26.812014823389486,0.011854288412354919,119.4043129693065,113.44408474828194,-5.960228221024565,13.341279536539272,12.675331474690793,-0.6659480618484785
14,24.507046240897417,24.319550819630425,-0.18749542126699126,91.3760182054601,87.97609652725637,-3.399921678203725,12.040103841178869,11.592115289462768,-0.44798855171610086
15,17.573863006374186,18.579819705249605,1.0059566988754192,61.596991914620425,57.89873135909851,-3.6982605555219124,9.73859936893892,9.15389747372139,-0.5847018952175294
16,15.419408900381143,15.184421404264873,-0.23498749611627012,101.43409773433639,102.38465061285794,0.9505528785215489,19.170517884549938,19.350167443869076,0.17964955931913806
17,12.208178094994244,12.551424813100814,0.34324671810657037,31.254263047665916,25.78344978326478,-5.470813264401137,10.619758011110685,8.760852782620475,-1.85890522849021
18,6.593144513982701,6.790511599561616,0.19736708557891447,29.866211807091943,29.35603498341496,-0.5101768236769821,21.38817629351198,21.022821895165542,-0.3653543983464367
19,2.469914450461112,2.609911791300843,0.1399973408397308,10.290729288246958,9.676187308331729,-0.614541979915229,19.959468931391136,18.767528961775714,-1.1919399696154223
20,1.2351409895779566,1.2665878558117805,0.03144686623382387,2.561316830427903,2.452009362282715,-0.10930746814518821,13.540999917092927,12.963120445288435,-0.5778794718044917
