local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,19.91697850715911,14.737095771574413,9.15891034322076,194.60334875303087,383.04654437281954,3070.254295720399,26.709042352112533
10,24.218116349328014,17.057911593776755,12.984060084429656,159.49276160121624,372.2152566055771,1453.6614365521864,15.431151929201482
11,22.92936328496359,17.493728591470024,13.653892641891636,149.74862099646828,400.15074664797186,1084.805484868168,14.18892101126441
12,18.36546936853204,13.169911200208018,2.137714616162239,83.48648259202619,154.4052574595013,687.3762152136827,8.344362356881796
13,26.80016053497713,20.2062684627787,18.149903642430765,119.4043129693065,260.69514412376844,888.7639425,13.341279536539272
14,24.507046240897417,19.170593445319998,15.75608120487146,91.3760182054601,222.35107185203944,491.81662500000016,12.040103841178869
15,17.573863006374186,13.547931503074158,-0.5868788913986299,61.596991914620425,141.88315235127112,459.83275062895314,9.73859936893892
16,15.419408900381143,11.750775647634985,1.3623267488534458,101.43409773433639,295.3704657224094,784.1595984753001,19.170517884549938
17,12.208178094994244,9.413481048233216,-0.07691282426138664,31.254263047665916,85.17135849564768,124.6642793051098,10.619758011110685
18,6.593144513982701,4.736354784173031,3.43308559923076,29.866211807091943,55.01454359875363,308.1365634987,21.38817629351198
19,2.469914450461112,1.988561330853596,-0.8698192328849277,10.290729288246958,10.463481754706075,139.24659036222224,19.959468931391136
20,1.2351409895779566,0.9436433477749121,-0.38251891677013644,2.561316830427903,6.908621416555827,16.105907061359083,13.540999917092927
