local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,19.91697850715911,14.737095771574413,9.15891034322076,189.74167174743997,366.9684724695581,2771.3749036192085,26.181390983389154
10,24.218116349328014,17.057911593776755,12.984060084429656,172.66383949479174,357.39599671436696,1407.5569587807236,16.855598365581088
11,22.92936328496359,17.493728591470024,13.653892641891636,158.62686492827274,393.3663042562105,938.5391039950272,15.037649186037
12,18.36546936853204,13.169911200208018,2.137714616162239,87.78159277072103,149.8848035185969,687.3762152136827,8.773652878904388
13,26.80016053497713,20.2062684627787,18.149903642430765,129.9711372546028,265.1380265722513,851.2700850000001,14.521931667923068
14,24.507046240897417,19.170593445319998,15.75608120487146,98.93015780377688,228.88158928295834,468.4669687500001,13.035470316767544
15,17.573863006374186,13.547931503074158,-0.5868788913986299,61.243438095645764,144.9310580831541,459.83275062895314,9.682701850385982
16,15.419408900381143,11.750775647634985,1.3623267488534458,99.77064461312881,267.7644929589796,784.1595984753001,18.85613388032938
17,12.208178094994244,9.413481048233216,-0.07691282426138664,29.397724102449583,80.69751379947259,117.17673073923439,10.043905258247312
18,6.593144513982701,4.736354784173031,3.43308559923076,27.366615890992367,54.644213710318716,245.94461280257661,19.598133469822322
19,2.469914450461112,1.988561330853596,-0.8698192328849277,5.6479862813459825,10.092306612188017,54.818509096008555,11.914474059301778
20,1.2351409895779566,0.9436433477749121,-0.38251891677013644,2.535801239088895,6.506893959870899,15.772639330184992,13.406105781349337
