local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,19.91697850715911,14.737095771574413,9.15891034322076,354.56110091163595,427.91862834683974,1985.5354305831725,33.93852492085205
10,24.218116349328014,17.057911593776755,12.984060084429656,250.6249665445706,389.60340792157916,1205.7199967622028,19.657896487372852
11,22.92936328496359,17.493728591470024,13.653892641891636,129.90868954842378,292.3023700408638,697.7423699511533,10.751258925216062
12,18.36546936853204,13.169911200208018,2.137714616162239,126.50415894116774,187.3441746843489,687.3762152136827,11.339984240241003
13,26.80016053497713,20.2062684627787,18.149903642430765,56.11671371800757,149.29671543634217,649.9422000000002,5.558459620173015
14,24.507046240897417,19.170593445319998,15.75608120487146,50.7668008410595,145.8180453929333,341.6728509330602,5.876900555364303
15,17.573863006374186,13.547931503074158,-0.5868788913986299,108.8107095733497,134.83578577840152,459.83275062895314,14.768856812032032
16,15.419408900381143,11.750775647634985,1.3623267488534458,187.92500294922442,310.1643086490783,784.1595984753001,27.934402035925245
17,12.208178094994244,9.413481048233216,-0.07691282426138664,218.55223235773025,255.8977332014384,353.596654005511,42.26243715665509
18,6.593144513982701,4.736354784173031,3.43308559923076,279.5875028355614,337.41968484614915,375.70006551522465,65.55204695153462
19,2.469914450461112,1.988561330853596,-0.8698192328849277,329.39849350807515,391.3287555291155,440.8798583931063,87.55845146675375
20,1.2351409895779566,0.9436433477749121,-0.38251891677013644,350.954916371943,403.52248773998446,480.6565324204409,95.04542132971225
