local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,22.117928927066753,16.329759698916355,3.3944932177110956,137.3494066376609,306.7273955778259,1554.9409769798074,18.95207564790323
10,24.039914155182746,19.05891663883394,3.7242635247540545,166.08129188379903,304.388819177542,1328.8749025176444,16.213004183279498
11,25.27306578942407,21.178941883315115,19.57773360265333,185.4694561110975,502.98074720765686,1056.6220124999995,17.582296775422627
12,20.96431927793194,15.00267343623594,5.577012783846913,97.12268210180603,254.18731173374482,644.9695798066891,9.707282273347465
13,26.72141121421469,20.47881819009043,16.422218309708125,125.08474258007253,231.01090333089655,851.2700850000001,13.975965147471477
14,24.37439166501939,18.74576307489977,14.64893120228018,95.79062717983419,229.00882477967878,468.4669687500001,12.62179202932196
15,18.636240759360422,15.09498702088003,-4.673337546453798,56.370789500223886,125.3173193427434,450.3553577165769,8.91232701451395
16,15.67985813369579,11.601032985292505,4.501925012433829,107.8240331425428,296.8603674084818,801.3893470424742,20.37818250384761
17,14.00708293433121,11.109113218503639,-7.281431044451686,18.749264746276992,47.27836861596893,95.34172318235309,6.405796520748724
18,6.7653776388386735,4.729014616492151,3.2689188947789076,26.85317897253083,54.98750631265564,244.90572780429193,19.230444410406847
19,2.608040686635992,2.0573068525578364,-1.2461174431001554,5.082578948167321,8.220088919720656,51.46495322554871,10.721742585015908
20,1.266687075940095,0.9784486257657061,-0.46812284837085777,2.435843429912661,6.045159082899387,14.880965639958298,12.877655466383011
